,ente,população,estado_do_processo,data_adesao
,Senhor do Bonfim,81.218 , 1 ,16/8/2013
,Sento Sé,32.991 , - , - 
,Serra do Ramalho,41.891 , - , - 
,Serra Dourada,18.320 , - , - 
,Serra Preta,16.036 , - , - 
,Serrinha,83.088 , 1 ,3/6/2013
,Serrolândia,13.832 , - , - 
,Simões Filho,136.050 , 1 ,3/12/2013
,Sítio do Mato,13.437 , - , - 
,Sítio do Quinto,11.283 , 1 ,29/7/2013
,Sobradinho,23.713 , - , - 
,Souto Soares,17.503 , 1 ,19/4/2013
,Tabocas do Brejo Velho,13.057 , - , - 
,Tanhaçu,21.315 , - , - 
,Tanque Novo,17.884 , 1 ,19/8/2016
,Tanquinho,8.232 , - , - 
,Taperoá,21.462 , - , - 
,Tapiramutá,17.845 , 1 ,30/7/2014
,Teixeira de Freitas,161.690 , 1 ,21/8/2014
,Teodoro Sampaio,7.936 , 1 ,30/7/2014
,Teofilândia,23.378 , 1 ,19/10/2015
,Teolândia,15.357 , - , - 
,Terra Nova,13.536 , - , - 
,Tremedal,17.700 , - , - 
,Tucano,52.540 , 1 ,17/9/2015
,Uauá,25.773 , 1 ,12/2/2014
,Ubaíra,20.800 , 1 ,18/6/2013
,Ubaitaba,20.489 , - , - 
,Ubatã,27.527 , 1 ,27/10/2015
,Uibaí,14.474 , - , - 
,Umburamas,19.522 , - , - 
,Una,21.331 , - , - 
,Urandi,17.356 , - , - 
,Uruçuca,21.711 , - , - 
,Utinga,19.780 , - , - 
,Valença,98.749 , 1 ,3/12/2013
,Valente,28.743 , 1 ,29/5/2015
,Várzea da Roça,14.662 , - , - 
,Várzea do Poço,9.449 , - , - 
,Várzea Nova,13.454 , - , - 
,Varzedo,9.375 , 1 ,15/1/2014
,Vera Cruz,43.640 , - , - 
,Vereda,6.620 , 1 ,28/9/2015
,Vitória da Conquista,348.718 , 1 ,13/11/2013
,Wagner,9.753 , 1 ,3/4/2014
,Wanderley,12.935 , 1 ,23/2/2015
,Wenceslau Guimarães,22.365 , 1 ,19/10/2015
,Xique-Xique,48.365 , 1 ,18/6/2013
,CEARÁ,9.020.460, Sim ,7/3/2013
,Fortaleza,2.627.482 , 1 ,12/4/2013
,Abaiara,11.605 , 1 ,29/8/2017
,Acarapé,16.543 , 1 ,30/7/2014
,Acaraú,62.199 , 1 ,21/8/2014
,Acopiara,53.572 , 1 ,19/4/2013
,Aiuaba,17.194 , 1 ,13/10/2017
,Alcântaras,11.459 , 1 ,3/7/2014
,Altaneira,7.479 , 1 ,25/11/2013
,Alto Santo,16.976 , 1 ,12/4/2013
,Amontada,42.901 , 1 ,14/8/2013
,Antonina do Norte,7.278 , 1 ,23/8/2018
,Apuiarés,14.719 , - , - 
,Aquiraz,79.128 , 1 ,16/8/2013
,Aracati,73.629 , 1 ,29/5/2015
,Aracoiaba,26.269 , 1 ,31/8/2015
,Ararendá,10.823 , 1 ,19/4/2017
,Araripe,21.398 , 1 ,14/11/2013
,Aratuba,11.244 , 1 ,29/2/2016
,Arneiroz,7.777 , 1 ,27/10/2015
,Assaré,23.254 , 1 ,25/11/2013
